B,u,h,uh
-0.000108468591165647,-0.0244101165198486,0.227574750830564,-0.0377062689579256
-0.00011047982720277,-0.0247725648179672,0.229468438538206,-0.0377899194424733
-0.000111209580189177,-0.0246185289180024,0.227890365448505,-0.0378305634537291
-0.000111928124251037,-0.0246558153163865,0.226943521594684,-0.0382547643024146
-0.000112799784688364,-0.0248979977491653,0.228205980066445,-0.0387562873073414
-0.000113408244113383,-0.0248767337931317,0.231046511627907,-0.0390471442265027
-0.000113628915510517,-0.0246708268279735,0.23578073089701,-0.0391526622963533
-0.000115034557387568,-0.024996371674707,0.240199335548173,-0.0395843958837136
-0.000117013082200592,-0.0252299560344967,0.241461794019933,-0.0395824193617874
-0.000120178957892385,-0.0256043090264181,0.246196013289036,-0.0404392578868359
-0.000118685503437954,-0.0257842609418876,0.250930232558139,-0.0405920496613126
-0.000118391309979076,-0.026005846806245,0.255664451827242,-0.0405047141748101
-0.000117414641186513,-0.0261240577271169,0.260398671096345,-0.0406347062913909
-0.00011698238597976,-0.0263969020048559,0.265132890365448,-0.0406663550505541
-0.000116407295147465,-0.0264314597188392,0.26986710963455,-0.0405797753503836
-0.000115327871879757,-0.0266010865024858,0.274601328903653,-0.0408060826366858
-0.000112201741891962,-0.0262971828898944,0.279335548172756,-0.0410452366883733
-0.000110611489570144,-0.0264640231660053,0.284069767441859,-0.0410857895882022
-0.00010977563678438,-0.0265276758112349,0.288172757475082,-0.0408528836613594
-0.000109720118096522,-0.0263434876507555,0.290382059800663,-0.0405505687798941
-0.00011068177668147,-0.0262593124913736,0.294485049833885,-0.0402568522554718
-0.000111256141739199,-0.026436369063273,0.296694352159466,-0.0404850135856705
-0.000110362288154863,-0.0266116066792899,0.300797342192689,-0.0410491425405469
-0.000109673988081333,-0.0264899549989246,0.308089700996676,-0.0416391451977432
-0.000106810937423407,-0.026229908093063,0.317358803986709,-0.0416094223466243
-0.000107550065796141,-0.0263437192906815,0.324368770764118,-0.0423040987353687
